4.0,7,0,192
4.0,7,1,190
4.0,7,2,190
4.0,7,3,191
4.0,7,4,190
4.0,7,5,191
4.0,7,6,191
4.0,7,7,190
4.0,7,8,192
4.0,7,9,190
5.0,7,0,191
5.0,7,1,190
5.0,7,2,190
5.0,7,3,191
5.0,7,4,191
5.0,7,5,190
5.0,7,6,191
5.0,7,7,191
5.0,7,8,190
5.0,7,9,191
6.0,7,0,192
6.0,7,1,191
6.0,7,2,192
6.0,7,3,190
6.0,7,4,192
6.0,7,5,193
6.0,7,6,192
6.0,7,7,191
6.0,7,8,190
6.0,7,9,191
8.0,7,0,191
8.0,7,1,194
8.0,7,2,194
8.0,7,3,193
8.0,7,4,192
8.0,7,5,193
8.0,7,6,194
8.0,7,7,193
8.0,7,8,191
8.0,7,9,193
10.0,7,0,193
10.0,7,1,193
10.0,7,2,195
10.0,7,3,194
10.0,7,4,195
10.0,7,5,193
10.0,7,6,194
10.0,7,7,193
10.0,7,8,194
10.0,7,9,193
12.0,7,0,196
12.0,7,1,194
12.0,7,2,194
12.0,7,3,195
12.0,7,4,194
12.0,7,5,196
12.0,7,6,195
12.0,7,7,197
12.0,7,8,195
12.0,7,9,193
15.0,7,0,199
15.0,7,1,193
15.0,7,2,197
15.0,7,3,197
15.0,7,4,197
15.0,7,5,196
15.0,7,6,197
15.0,7,7,196
15.0,7,8,196
15.0,7,9,196
18.0,7,0,199
18.0,7,1,199
18.0,7,2,198
18.0,7,3,198
18.0,7,4,198
18.0,7,5,199
18.0,7,6,199
18.0,7,7,198
18.0,7,8,198
18.0,7,9,201
22.0,7,0,202
22.0,7,1,201
22.0,7,2,200
22.0,7,3,201
22.0,7,4,201
22.0,7,5,201
22.0,7,6,204
22.0,7,7,203
22.0,7,8,202
22.0,7,9,202
26.0,7,0,204
26.0,7,1,204
26.0,7,2,203
26.0,7,3,204
26.0,7,4,203
26.0,7,5,205
26.0,7,6,203
26.0,7,7,206
26.0,7,8,202
26.0,7,9,203
31.0,7,0,205
31.0,7,1,206
31.0,7,2,206
31.0,7,3,206
