4.0,16.0,0,205
4.0,16.0,1,205
4.0,16.0,2,204
4.0,16.0,3,206
4.0,16.0,4,205
4.0,16.0,5,206
4.0,16.0,6,204
4.0,16.0,7,204
4.0,16.0,8,204
4.0,16.0,9,205
5.0,25.0,0,205
5.0,25.0,1,205
5.0,25.0,2,204
5.0,25.0,3,204
5.0,25.0,4,204
5.0,25.0,5,206
5.0,25.0,6,205
5.0,25.0,7,206
5.0,25.0,8,206
5.0,25.0,9,203
6.0,36.0,0,205
6.0,36.0,1,205
6.0,36.0,2,206
6.0,36.0,3,205
6.0,36.0,4,205
6.0,36.0,5,206
6.0,36.0,6,206
6.0,36.0,7,206
6.0,36.0,8,206
6.0,36.0,9,206
8.0,64.0,0,207
8.0,64.0,1,208
8.0,64.0,2,206
8.0,64.0,3,206
8.0,64.0,4,207
8.0,64.0,5,207
8.0,64.0,6,217
8.0,64.0,7,201
8.0,64.0,8,204
8.0,64.0,9,209
10.0,100.0,0,212
10.0,100.0,1,211
10.0,100.0,2,211
10.0,100.0,3,218
10.0,100.0,4,211
10.0,100.0,5,211
10.0,100.0,6,212
10.0,100.0,7,211
10.0,100.0,8,211
10.0,100.0,9,211
12.0,144.0,0,215
12.0,144.0,1,214
12.0,144.0,2,214
12.0,144.0,3,215
12.0,144.0,4,213
12.0,144.0,5,213
12.0,144.0,6,214
12.0,144.0,7,213
12.0,144.0,8,213
12.0,144.0,9,214
15.0,225.0,0,220
15.0,225.0,1,220
15.0,225.0,2,220
15.0,225.0,3,220
15.0,225.0,4,220
15.0,225.0,5,219
15.0,225.0,6,220
15.0,225.0,7,220
15.0,225.0,8,220
15.0,225.0,9,220
18.0,324.0,0,227
18.0,324.0,1,228
18.0,324.0,2,227
18.0,324.0,3,227
18.0,324.0,4,228
18.0,324.0,5,226
18.0,324.0,6,227
18.0,324.0,7,227
18.0,324.0,8,226
18.0,324.0,9,227
22.0,484.0,0,237
22.0,484.0,1,236
22.0,484.0,2,236
22.0,484.0,3,237
22.0,484.0,4,237
22.0,484.0,5,239
22.0,484.0,6,235
22.0,484.0,7,238
22.0,484.0,8,235
22.0,484.0,9,237
26.0,676.0,0,251
26.0,676.0,1,245
26.0,676.0,2,256
